Fragment,Date.1,X.1,Rep.1,BW.1,AW_kelsey.1,Notes.1,Date.2,X.2,Rep.2,BW.2,AW_kelsey.2,Notes.2,Date.3,X.3,Rep.3,BW.3,AW_kelsey.3,Notes.3,Date.4,X.4,Rep.4,BW.4,AW_kelsey.4,Notes.4,Date.5,X.5,Rep.5,BW.5,AW_kelsey.5,Notes.5,Date.6,X.6,Rep.6,BW.6,AW_kelsey.6,Notes.6,Date.7,X.7,Rep.7,BW.7,AW_kelsey.7,Notes.7,Date.8,X.8,Rep.8,BW.8,AW_kelsey.8,Notes.8,Date.9,X.9,Rep.9,BW.9,AW_kelsey.9,Notes.9,Date.10,X.10,Rep.10,BW.10,AW_kelsey.10,Notes.10
113W,10/4/19,NA,NA,4.845,9.058250125,,10/10/19,NA,Top,4.906,9.167821018,,10/17/19,NA,Top,5.01,9.35424344,,10/24/19,NA,Top,5.128,9.577968678,,11/4/19,NA,Top,5.401,10.08672816,,11/17/19,NA,Top,5.71,10.67474653,,11/22/19,NA,Top,5.828,6.682851199,,12/5/19,NA,Top,6.184,11.55782454,,12/12/19,NA,Top,6.391,11.95061598,,12/19/19,NA,Top,6.627,12.3841792,
11W,10/4/19,NA,NA,3.86,7.215381352,,10/10/19,NA,Top,3.826,7.149629681,,10/17/19,NA,Top,3.831,7.154379046,,10/24/19,NA,Top,3.986,7.445745743,,11/4/19,NA,Top,4.256,7.948364199,,11/14/19,NA,Control,4.39,8.208206637,,11/22/19,NA,Control,4.54,5.206157383,,12/6/19,NA,Control,4.799,8.97686354,,NA,NA,NA,NA,NA,NA,12/19/19,NA,Control,5.095,9.525529248,
12B,10/4/19,NA,NA,6.506,12.16459963,,10/10/19,NA,Top,6.669,12.46265253,,10/17/19,NA,Top,6.959,12.99458559,,10/24/19,NA,Top,7.349,13.72630496,,11/4/19,NA,Top,8.005,14.95026169,,11/14/19,NA,Control,8.428,15.75826094,,11/25/19,NA,Control,8.964,10.27834913,,12/6/19,NA,Control,9.407,17.59599533,,12/13/19,NA,Control,9.719,18.16086999,,12/19/19,NA,Control,9.918,18.54253171,
13B,10/4/19,NA,NA,4.326,8.086881563,,10/10/19,NA,Top,4.486,8.382968831,,10/17/19,NA,Top,4.707,8.788507759,,10/24/19,NA,Top,4.952,9.249239644,,11/4/19,NA,Top,5.42,10.12221193,,11/17/19,NA,Top,5.947,11.11781395,,11/22/19,NA,Top,6.178,7.084189208,,12/5/19,NA,Top,6.872,12.84716988,,12/12/19,NA,Top,7.275,13.60253759,,12/19/19,NA,Top,7.691,14.37521031,
15W,10/4/19,NA,NA,3.317,6.201330302,,10/10/19,NA,Top,3.391,6.336419358,,10/17/19,NA,Top,3.432,6.408922682,,10/24/19,NA,Top,3.605,6.734047517,,11/4/19,NA,Top,3.821,7.136158642,,11/17/19,NA,Top,4.043,7.55831878,,11/21/19,NA,Top,4.122,4.726853571,,12/5/19,NA,Top,4.392,8.208371935,,12/12/19,NA,Top,4.567,8.539441915,,12/19/19,NA,Top,4.793,8.956173461,
184W,10/4/19,NA,NA,2.958,5.530158285,,10/10/19,NA,Top,3.022,5.647198352,,10/17/19,NA,Top,3.048,5.691550059,,10/24/19,NA,Top,3.185,5.948718037,,11/4/19,NA,Top,3.434,6.413224309,,11/17/19,NA,Top,3.702,6.92082516,,11/21/19,NA,Top,3.783,4.338109427,,12/5/19,NA,Top,4.171,7.796613402,,12/12/19,NA,Top,4.417,8.258969769,,12/19/19,NA,Top,4.64,8.6716787,
185W,10/4/19,NA,NA,3.485,6.515416371,,10/10/19,NA,Top,3.537,6.609576629,,10/17/19,NA,Top,3.543,6.615866752,,10/24/19,NA,Top,3.666,6.847095864,,11/4/19,NA,Top,3.862,7.212542889,,11/17/19,NA,Top,4.063,7.595708435,,11/21/19,NA,Top,4.135,4.741761163,,12/5/19,NA,Top,4.444,8.306012113,,12/12/19,NA,Top,4.614,8.627093945,,12/19/19,NA,Top,4.788,8.948752446,
18W,10/4/19,NA,NA,3.935,7.356906965,,10/10/19,NA,Top,3.95,7.381538088,,10/17/19,NA,Top,4.073,7.605927181,,10/24/19,NA,Top,4.25,7.93868376,,11/4/19,NA,Top,4.502,8.408004765,,11/17/19,NA,Top,4.731,8.844522915,,11/22/19,NA,Top,4.84,5.549931332,,12/5/19,NA,Top,5.185,9.692811288,,12/12/19,NA,Top,5.392,10.08203871,,12/19/19,NA,Top,5.638,10.53795809,
191W,10/4/19,NA,NA,2.887,5.397557918,,10/10/19,NA,Top,2.999,5.604362716,,10/17/19,NA,Top,3.104,5.796709099,,10/24/19,NA,Top,3.294,6.151974997,,11/4/19,NA,Top,3.577,6.680286358,,11/17/19,NA,Top,3.871,7.236767746,,11/22/19,NA,Top,3.998,4.584426749,,12/5/19,NA,Top,4.278,7.997913715,,12/12/19,NA,Top,4.543,8.495240272,,12/19/19,NA,Top,4.823,9.013686718,
192W,10/4/19,NA,NA,2.279,4.26072709,,10/10/19,NA,Bottom,2.334,4.361083487,,10/17/19,NA,Bottom,2.407,4.493794846,,10/24/19,NA,Bottom,2.41,4.502052304,,11/1/19,NA,Top,2.634,4.917095366,,11/17/19,NA,Bottom,2.825,5.2817039,,11/21/19,NA,Bottom,2.873,3.294507356,,12/6/19,NA,Bottom,3.186,5.958083376,,12/12/19,NA,Bottom,3.363,6.287850923,,12/19/19,NA,Bottom,3.617,6.761406118,
194W,10/4/19,NA,NA,1.057,1.9759209,,10/10/19,NA,Bottom,1.056,1.973189374,,10/17/19,NA,Bottom,1.058,1.975304764,,10/24/19,NA,Bottom,1.002,1.871759027,,11/1/19,NA,Top,1.129,2.108026296,,11/17/19,NA,Bottom,1.179,2.204350881,,11/21/19,NA,Bottom,1.188,1.362307141,,12/6/19,NA,Bottom,1.252,2.341589165,,12/12/19,NA,Bottom,1.29,2.411673605,,12/19/19,NA,Bottom,1.348,2.519937357,
19B,10/4/19,NA,NA,7.566,14.14653563,,10/10/19,NA,Bottom,7.835,14.64009351,,10/17/19,NA,Bottom,7.96,14.86146117,,10/24/19,NA,Bottom,8.131,15.18928933,,11/1/19,NA,Top,8.635,16.12294692,,11/14/19,NA,Control,9.14,17.08952361,,11/25/19,NA,Control,9.535,10.93292477,,12/6/19,NA,Control,9.482,17.73628443,,12/13/19,NA,Control,9.672,18.07548114,,12/19/19,NA,Control,9.826,18.37053001,
1B,10/4/19,NA,NA,5.008,9.362756151,,10/10/19,NA,Top,5.176,9.672368852,,10/17/19,NA,Top,5.372,10.03117025,,10/24/19,NA,Top,5.552,10.37926246,,11/4/19,NA,Top,6.091,11.37534923,,11/17/19,NA,Top,6.634,12.4021486,,11/21/19,NA,Top,6.825,7.82648608,,12/5/19,NA,Top,7.584,14.1740193,,12/12/19,NA,Top,7.974,14.90989924,,12/19/19,NA,Top,8.389,15.67690951,
21B,10/4/19,NA,NA,5.733,10.71708091,,10/10/19,NA,Top,5.867,10.96363757,,10/17/19,NA,Top,5.974,11.15585784,,10/24/19,NA,Top,6.238,11.65181495,,11/4/19,NA,Top,6.654,12.42678933,,11/17/19,NA,Top,7.148,13.36306273,,11/22/19,NA,Top,7.346,8.42351148,,12/5/19,NA,Top,7.551,14.11465543,,12/12/19,NA,Top,7.876,14.72665744,,12/19/19,NA,Top,8.252,15.41964185,
21W,10/4/19,NA,NA,3.717,6.94897565,,10/10/19,NA,Top,3.715,6.942383291,,10/17/19,NA,Top,3.782,7.061426884,,10/24/19,NA,Top,3.868,7.224567638,,11/4/19,NA,Top,4.105,7.666361616,,11/14/19,NA,Control,4.242,7.931483497,,11/22/19,NA,Control,4.405,5.051348738,,12/6/19,NA,Control,4.685,8.764291957,,12/13/19,NA,Control,4.844,9.051471781,,12/19/19,NA,Control,4.935,9.226395846,
22B,10/4/19,NA,NA,7.813,14.60460479,,10/10/19,NA,Top,7.889,14.74251999,,10/17/19,NA,Top,8.111,15.1464953,,10/24/19,NA,Top,8.429,15.74391984,,11/4/19,NA,Top,8.947,16.70911995,,11/14/19,NA,Control,9.305,17.39803252,,11/25/19,NA,Control,9.748,11.17715267,,12/6/19,NA,Control,10.201,19.08168055,,12/13/19,NA,Control,10.505,19.62958527,,12/19/19,NA,Control,10.574,19.77050396,
230G,10/4/19,NA,NA,7.182,13.42855127,,10/10/19,NA,Top,7.361,13.75582326,,10/17/19,NA,Top,7.777,14.52054915,,10/24/19,NA,Top,8.103,15.13421107,,11/4/19,NA,Top,8.709,16.26463905,,11/14/19,NA,Control,9.156,17.11943963,,11/25/19,NA,Control,9.725,11.15098084,,12/6/19,NA,Control,10.214,19.10550614,,12/13/19,NA,Control,10.292,19.23157464,BROKE,12/19/19,NA,Control,10.462,19.55958528,
23B,10/4/19,NA,NA,2.92,5.459115008,,10/10/19,NA,Bottom,2.985,5.577623372,,10/17/19,NA,Bottom,3.059,5.711207253,,10/24/19,NA,Bottom,3.096,5.78339915,,11/1/19,NA,Top,3.34,6.234227391,,11/17/19,NA,Bottom,3.655,6.83349655,,11/21/19,NA,Bottom,3.726,4.272653815,,12/6/19,NA,Bottom,4.051,7.575103642,,NA,NA,NA,NA,NA,NA,12/19/19,NA,Bottom,4.43,8.281827347,
24B,10/4/19,NA,NA,8.126,15.19204403,,10/10/19,NA,Top,8.305,15.51991742,,10/17/19,NA,Top,8.593,16.04576432,,10/24/19,NA,Top,8.936,16.6909085,,11/4/19,NA,Top,9.534,17.80584572,,11/17/19,NA,Top,10.308,19.27062824,,11/22/19,NA,Top,10.615,12.17200849,,12/5/19,NA,Top,11.062,20.67418268,,12/12/19,NA,Top,11.519,21.53896188,,12/19/19,NA,Top,12.085,22.58801411,
259G,10/4/19,NA,NA,7.978,14.91534916,,10/10/19,NA,Top,8.23,15.37936547,,10/17/19,NA,Top,8.443,15.76727285,,10/24/19,NA,Top,8.739,16.3267621,,11/4/19,NA,Top,9.44,17.63074823,,11/17/19,NA,Top,10.254,19.16967617,,11/22/19,NA,Top,10.592,12.14563485,,12/5/19,NA,Top,11.602,21.6898814,,12/12/19,NA,Top,12.193,22.79925013,,12/19/19,NA,Top,12.853,24.02092378,
25W,10/4/19,NA,NA,5.953,11.12834164,,10/10/19,NA,Top,6.044,11.2943967,,10/17/19,NA,Top,6.184,11.54742309,,10/24/19,NA,Top,6.334,11.82862722,,11/4/19,NA,Top,6.69,12.49434737,,11/17/19,NA,Top,7.021,13.12563842,,11/21/19,NA,Top,7.136,8.183156355,,12/5/19,NA,Top,7.59,14.18755592,,12/12/19,NA,Top,7.847,14.67282176,,12/19/19,NA,Top,8.156,15.24025678,
26B,10/4/19,NA,NA,6.755,12.62887736,,10/10/19,NA,Bottom,6.949,12.98421986,,10/17/19,NA,Bottom,7.206,13.45338,,10/24/19,NA,Bottom,7.383,13.79197185,,11/1/19,NA,Top,7.856,14.66311445,,11/17/19,NA,Bottom,8.681,16.22940605,,11/21/19,NA,Bottom,8.889,10.19313466,,12/6/19,NA,Bottom,9.793,18.31420171,,12/12/19,NA,Bottom,10.238,19.14111688,,12/19/19,NA,Bottom,10.827,20.24146013,
28B,10/4/19,NA,NA,5.56,10.39555076,,NA,NA,NA,NA,NA,NA,10/17/19,NA,Bottom,5.618,10.48863292,,10/24/19,NA,Bottom,5.526,10.32376335,,11/1/19,NA,Top,5.71,10.65903008,,11/17/19,NA,Bottom,4.227,7.903130767,,11/21/19,NA,Bottom,4.248,4.871238166,,12/6/19,NA,Bottom,4.298,8.036977402,,12/12/19,NA,Bottom,4.341,8.116215305,,12/19/19,NA,Bottom,4.408,8.241125206,
29B,10/4/19,NA,NA,6.834,12.77657259,,NA,NA,NA,NA,NA,NA,10/17/19,NA,Bottom,7.716,14.40590885,,10/24/19,NA,Bottom,7.362,13.75238519,,11/1/19,NA,Top,7.8,14.55897415,,11/17/19,NA,Bottom,8.548,15.98201131,,11/21/19,NA,Bottom,8.721,10.00057288,,12/6/19,NA,Bottom,9.53,17.82375778,,12/12/19,NA,Bottom,9.946,18.59518935,,12/19/19,NA,Bottom,10.472,19.57828112,
2B,10/4/19,NA,NA,5.462,10.21231982,,10/10/19,NA,Top,5.481,10.24179136,,10/17/19,NA,Top,5.439,10.15627978,,10/24/19,NA,Top,5.466,10.21034778,,11/4/19,NA,Top,5.605,10.46771178,,11/17/19,NA,Top,5.725,10.70278877,,11/21/19,NA,Top,5.75,6.593742851,,12/5/19,NA,Top,5.671,10.59932374,,12/12/19,NA,Top,5.727,10.70871036,MOSTLY DEAD,12/19/19,NA,Top,5.797,10.83253561,MOSTLY DEAD
302B,10/4/19,NA,NA,2.178,4.071269581,,10/10/19,NA,Bottom,2.121,3.963092577,,10/17/19,NA,Bottom,2.137,3.989713164,,10/24/19,NA,Bottom,2.113,3.947029793,,11/1/19,NA,Top,2.233,4.16916105,,11/14/19,NA,Control,2.281,4.264901899,,11/25/19,NA,Control,2.345,2.688848337,,12/6/19,NA,Control,2.375,4.442488455,,12/13/19,NA,Control,2.404,4.492946552,,12/19/19,NA,Control,2.419,4.522756031,
303B,10/4/19,NA,NA,5.7,10.6553918,,10/10/19,NA,Top,5.839,10.91131409,,10/17/19,NA,Top,6.04,11.27853096,,10/24/19,NA,Top,6.246,11.66460009,,11/4/19,NA,Top,6.638,12.39690826,,11/17/19,NA,Top,7.102,13.27706653,,11/22/19,NA,Top,7.316,8.389111079,,12/5/19,NA,Top,8.042,15.03488128,,12/12/19,NA,Top,8.433,15.768144,,12/19/19,NA,Top,8.898,16.6267539,
304B,10/4/19,NA,NA,5.941,11.10705557,,10/10/19,NA,Top,6.068,11.3395375,,10/17/19,NA,Top,6.256,11.68096947,,10/24/19,NA,Top,6.433,12.01541976,,11/4/19,NA,Top,6.752,12.60981087,,11/17/19,NA,Top,7.149,13.36493222,,11/21/19,NA,Top,7.303,8.374591089,,12/5/19,NA,Top,7.924,14.81427496,,12/12/19,NA,Top,8.291,15.50221844,,12/19/19,NA,Top,8.66,16.18636344,
305G,10/4/19,NA,NA,10.754,20.10524753,,10/10/19,NA,Top,11.265,21.05085686,,10/17/19,NA,Top,11.877,22.17913016,,10/24/19,NA,Top,10.638,19.86890502,,11/4/19,NA,Top,11.615,21.6917881,,11/17/19,NA,Top,12.172,22.75594176,,11/21/19,NA,Top,12.549,14.3903524,,12/5/19,NA,Top,14.179,26.50827924,,12/12/19,NA,Top,15.138,28.30449678,,12/19/19,NA,Top,16.213,30.29797757,CAME OFF TAG AND REGLUED 
306G,10/4/19,NA,NA,18.852,35.24854476,,10/10/19,NA,Top,19.679,36.77500963,,10/17/19,NA,Top,20.691,38.63246527,,10/24/19,NA,Top,12.869,24.03833442,,11/4/19,NA,Top,13.809,25.78990178,,11/14/19,NA,Control,14.468,27.05155663,,11/25/19,NA,Control,15.307,17.55139336,,12/6/19,NA,Control,16.172,30.25085167,,12/13/19,NA,Control,16.693,31.19665081,,12/19/19,NA,Control,17.087,31.96859162,
310B,10/4/19,NA,NA,3.798,7.099855796,,10/10/19,NA,Top,3.864,7.220640117,,10/17/19,NA,Top,3.888,7.260457864,,10/24/19,NA,Top,4.053,7.570106679,,11/4/19,NA,Top,4.297,8.024934437,,11/17/19,NA,Top,4.498,8.408933433,,11/22/19,NA,Top,4.603,5.278168165,,12/5/19,NA,Top,4.949,9.252130929,,12/12/19,NA,Top,5.157,9.642376132,,12/19/19,NA,Top,5.403,10.09764656,
311G,10/4/19,NA,NA,5.976,11.17249017,,10/10/19,NA,Top,6.152,11.49651198,,10/17/19,NA,Top,6.548,12.22712263,,10/24/19,NA,Top,6.874,12.83809233,,11/4/19,NA,Top,7.541,14.08368812,,11/17/19,NA,Top,8.348,15.60644204,,11/22/19,NA,Top,8.7,9.976116237,,12/5/19,NA,Top,9.834,18.38362704,,12/12/19,NA,Top,10.523,19.67813467,,12/19/19,NA,Top,11.283,21.08506019,
312B,10/4/19,NA,NA,4.297,8.033705013,,10/10/19,NA,Bottom,4.364,8.154142389,,10/17/19,NA,Bottom,4.465,8.336017444,,10/24/19,NA,Bottom,4.508,8.421047599,,11/1/19,NA,Top,4.725,8.819146612,,11/17/19,NA,Bottom,5.028,9.400743198,,11/21/19,NA,Bottom,5.116,5.866635804,,12/6/19,NA,Bottom,5.494,10.27450466,,12/12/19,NA,Bottom,5.688,10.634084,,12/19/19,NA,Bottom,5.983,11.18543049,
312G,10/4/19,NA,NA,9.002,16.82804157,,10/10/19,NA,Top,9.392,17.55124196,,10/17/19,NA,Top,9.684,18.08113642,,10/24/19,NA,Top,10.158,18.97289505,,11/4/19,NA,Top,11.129,20.78469237,,11/17/19,NA,Top,12.265,22.92920599,,11/21/19,NA,Top,12.658,14.51540818,,12/5/19,NA,Top,14.347,26.81730459,,12/12/19,NA,Top,15.389,28.77457228,,12/19/19,NA,Top,16.527,30.88889551,
313B,10/4/19,NA,NA,9.018,16.85925811,,10/10/19,NA,Top,9.227,17.24245506,,10/17/19,NA,Top,9.496,17.73284668,,10/24/19,NA,Top,9.82,18.33915673,,11/4/19,NA,Top,10.499,19.60758358,,11/14/19,NA,Control,10.954,20.48177155,,11/22/19,NA,Control,11.357,13.02336367,,12/6/19,NA,Control,12.092,22.61776172,,12/13/19,NA,Control,12.428,23.22602146,,12/19/19,NA,Control,12.697,23.73810498,
313G,10/4/19,NA,NA,9.242,17.27668964,,10/10/19,NA,Top,9.692,18.11139855,,10/17/19,NA,Top,10.326,19.2798239,,10/24/19,NA,Top,10.94,20.43295929,,11/4/19,NA,Top,12.051,22.50663381,,11/17/19,NA,Top,13.477,25.19501909,,11/21/19,NA,Top,13.947,15.99348513,,12/5/19,NA,Top,15.943,29.80695217,,12/12/19,NA,Top,17.041,31.86181016,,12/19/19,NA,Top,18.288,34.18201093,
314G,10/4/19,NA,NA,5.287,9.883086599,,10/10/19,NA,Bottom,5.385,10.06214468,,10/17/19,NA,Bottom,5.514,10.29500279,,10/24/19,NA,Bottom,5.592,10.44598451,,11/1/19,NA,Top,5.869,10.95382832,,11/17/19,NA,Bottom,6.188,11.56987105,,11/21/19,NA,Bottom,6.3,7.224325011,,12/6/19,NA,Bottom,6.827,12.76939003,,12/12/19,NA,Bottom,7.096,13.26678701,,12/19/19,NA,Bottom,7.483,13.98937112,
316B,10/4/19,NA,NA,5.988,11.19289534,,10/10/19,NA,Bottom,6.119,11.43366078,,10/17/19,NA,Bottom,6.288,11.73980752,,10/24/19,NA,Bottom,6.466,12.07832212,,11/1/19,NA,Top,6.863,12.81433523,,11/17/19,NA,Bottom,7.602,14.21292497,,11/21/19,NA,Bottom,7.781,8.922576311,,NA,NA,NA,NA,NA,NA,12/12/19,NA,Top,8.856,16.55907545,,12/19/19,NA,Bottom,9.274,17.33581396,
316G,10/4/19,NA,NA,8.901,16.63837031,,10/10/19,NA,Bottom,9.142,17.08184457,,10/17/19,NA,Bottom,-,#VALUE!,,10/24/19,NA,Bottom,9.653,18.03389207,,11/1/19,NA,Top,10.25,19.13448273,,11/14/19,NA,Control,10.894,20.36906677,,11/25/19,NA,Control,11.482,13.16561049,,12/6/19,NA,Control,12.133,22.69503681,,12/13/19,NA,Control,12.544,23.44280763,,12/19/19,NA,Control,12.832,23.99049878,
317B,10/4/19,NA,NA,7.381,13.79886717,,10/10/19,NA,Top,7.498,14.01148023,,10/17/19,NA,Top,7.731,14.43614616,,10/24/19,NA,Top,7.98,14.90369171,,11/4/19,NA,Top,8.514,15.90046353,,11/14/19,NA,Control,8.858,16.56225385,,11/25/19,NA,Control,9.293,10.65554108,,12/6/19,NA,Control,9.726,18.19269167,,12/13/19,NA,Control,10.055,18.79124926,,12/19/19,NA,Control,10.261,19.18478695,
317G,10/4/19,NA,NA,15.296,28.59752196,,10/10/19,NA,Bottom,15.874,29.66137133,,10/17/19,NA,Bottom,16.604,30.99915647,,10/24/19,NA,Bottom,11.66,21.78284077,,11/1/19,NA,Top,12.295,22.94965174,,11/17/19,NA,Bottom,13.441,25.13034792,,11/21/19,NA,Bottom,13.766,15.78592646,,12/6/19,NA,Bottom,15.215,28.45629324,,12/12/19,NA,Bottom,15.951,29.82062455,,12/19/19,NA,Bottom,17.026,31.82822956,
318G,10/4/19,NA,NA,15.585,29.13256953,,10/10/19,NA,Bottom,16.079,30.04364241,,10/17/19,NA,Bottom,17.008,31.75341202,,10/24/19,NA,Bottom,10.246,19.13976346,,11/1/19,NA,Top,10.96,20.46461883,,11/14/19,NA,Control,11.756,21.98079208,,11/22/19,NA,Control,12.27,14.07032422,,12/6/19,NA,Control,13.219,24.725785,,12/13/19,NA,Control,13.644,25.49648228,,12/19/19,NA,Control,13.931,26.04517133,
319G,10/4/19,NA,NA,4.608,8.614043052,,10/10/19,NA,Bottom,4.798,8.965305507,,10/17/19,NA,Bottom,4.879,9.109179532,,10/24/19,NA,Bottom,5.127,9.578098166,,11/1/19,NA,Top,5.54,10.34033275,,11/17/19,NA,Bottom,5.877,10.98810019,,11/21/19,NA,Bottom,6.028,6.912447346,,12/6/19,NA,Bottom,6.713,12.55616161,,12/12/19,NA,Bottom,7.086,13.24879918,,12/19/19,NA,Bottom,7.615,14.23465854,
320B,10/4/19,NA,NA,7.455,13.93613085,,10/10/19,NA,Top,7.682,14.35532023,,10/17/19,NA,Top,7.952,14.84882089,,10/24/19,NA,Top,8.245,15.39983458,,11/4/19,NA,Top,8.879,16.5825576,,11/17/19,NA,Top,9.699,18.13211324,,11/21/19,NA,Top,9.937,11.39513438,,12/5/19,NA,Top,10.961,20.48542003,,12/12/19,NA,Top,11.426,21.36449821,,12/19/19,NA,Top,12.008,22.43808281,
